BOs only in A: 0x28000 0x38000 0x48000 0x58000 0x68000
BOs only in B: 0x20000 0x30000 0x40000 0x50000 0x60000 0x70000

=== gpu_va=0x0  A=bo_sigusr1_h0_va0_cpu102d58000_sz10000.hex  B=map_seq000056_conn0_type00005e15_at1043f8000_sz4000.hex ===
  [size differs: A read 0x10000  B read 0x4000]
  +0x0278: 0x00000000 -> 0x00000400   (A 0  B 1024)
  +0x027c: 0x00000000 -> 0x00000102   (A 0  B 258)
  +0x0280: 0x60000000 -> 0x00000104   (A 1610612736  B 260)
  +0x0284: 0x0000035b -> 0x00000106   (A 859  B 262)
  +0x0288: 0x00000000 -> 0x0000010a   (A 0  B 266)
  +0x028c: 0x00000000 -> 0x0000010c   (A 0  B 268)
  +0x0290: 0x00000000 -> 0x0000010e   (A 0  B 270)
  +0x0294: 0x00000000 -> 0x00000110   (A 0  B 272)
  +0x0298: 0x00000000 -> 0x00000112   (A 0  B 274)
  +0x029c: 0x00000000 -> 0x00000114   (A 0  B 276)
  +0x02a0: 0x00000000 -> 0x00000118   (A 0  B 280)
  +0x02a4: 0x00000000 -> 0x0000011a   (A 0  B 282)
  +0x02a8: 0x00000000 -> 0x0000011c   (A 0  B 284)
  +0x02ac: 0x00000000 -> 0x0000011e   (A 0  B 286)
  +0x02b0: 0x00000000 -> 0x00000120   (A 0  B 288)
  +0x02b4: 0x00000000 -> 0x00000122   (A 0  B 290)
  +0x02b8: 0x00000000 -> 0x00000126   (A 0  B 294)
  +0x02bc: 0x00000000 -> 0x00000128   (A 0  B 296)
  +0x02c0: 0x00000100 -> 0x0000012a   (A 256  B 298)
  +0x02c4: 0x00000000 -> 0x0000012c   (A 0  B 300)
  +0x02c8: 0x00000000 -> 0x0000012e   (A 0  B 302)
  +0x02cc: 0x00000000 -> 0x00000130   (A 0  B 304)
  +0x02d0: 0x00000000 -> 0x00000134   (A 0  B 308)
  +0x02d4: 0x00000000 -> 0x00000136   (A 0  B 310)
  +0x02d8: 0x00000000 -> 0x00000138   (A 0  B 312)
  +0x02dc: 0x00000000 -> 0x0000013a   (A 0  B 314)
  +0x02e0: 0x0000ffff -> 0x00000000   (A 65535  B 0)
  +0x02e4: 0x00007fff -> 0x00000000   (A 32767  B 0)
  +0x02e8: 0xffff8000 -> 0x00000000   (A 4294934528  B 0)
  +0x02ec: 0xffffff80 -> 0x00000000   (A 4294967168  B 0)
  +0x02f0: 0x040003ff -> 0x00000000   (A 67109887  B 0)
  +0x02f4: 0x40000000 -> 0x00000000   (A 1073741824  B 0)
  +0x02f8: 0x00000400 -> 0x00000000   (A 1024  B 0)
  +0x02fc: 0x00000102 -> 0x00000000   (A 258  B 0)
  +0x0300: 0x00000104 -> 0x60000000   (A 260  B 1610612736)
  +0x0304: 0x00000106 -> 0x0000035b   (A 262  B 859)
  +0x0308: 0x0000010a -> 0x00000000   (A 266  B 0)
  +0x030c: 0x0000010c -> 0x00000000   (A 268  B 0)
  +0x0310: 0x0000010e -> 0x00000000   (A 270  B 0)
  +0x0314: 0x00000110 -> 0x00000000   (A 272  B 0)
  +0x0318: 0x00000112 -> 0x00000000   (A 274  B 0)
  +0x031c: 0x00000114 -> 0x00000000   (A 276  B 0)
  +0x0320: 0x00000118 -> 0x00000000   (A 280  B 0)
  +0x0324: 0x0000011a -> 0x00000000   (A 282  B 0)
  +0x0328: 0x0000011c -> 0x00000000   (A 284  B 0)
  +0x032c: 0x0000011e -> 0x00000000   (A 286  B 0)
  +0x0330: 0x00000120 -> 0x00000000   (A 288  B 0)
  +0x0334: 0x00000122 -> 0x00000000   (A 290  B 0)
  +0x0338: 0x00000126 -> 0x00000000   (A 294  B 0)
  +0x033c: 0x00000128 -> 0x00000000   (A 296  B 0)
  +0x0340: 0x0000012a -> 0x000000c0   (A 298  B 192)
  +0x0344: 0x0000012c -> 0x00000000   (A 300  B 0)
  +0x0348: 0x0000012e -> 0x00000000   (A 302  B 0)
  +0x034c: 0x00000130 -> 0x00000000   (A 304  B 0)
  +0x0350: 0x00000134 -> 0x00000000   (A 308  B 0)
  +0x0354: 0x00000136 -> 0x00000000   (A 310  B 0)
  +0x0358: 0x00000138 -> 0x00000000   (A 312  B 0)
  +0x035c: 0x0000013a -> 0x00000000   (A 314  B 0)
  +0x0360: 0x00000000 -> 0x01080104   (A 0  B 17301764)
  +0x0364: 0x00000000 -> 0x0110010c   (A 0  B 17826060)
  +0x0368: 0x00000000 -> 0x0120011c   (A 0  B 18874652)
  +0x036c: 0x00000000 -> 0x01240122   (A 0  B 19136802)
  +0x0370: 0x00000000 -> 0x012c0128   (A 0  B 19661096)
  +0x0374: 0x00000000 -> 0x01340130   (A 0  B 20185392)
  +0x0378: 0x00000000 -> 0x013c0138   (A 0  B 20709688)
  +0x037c: 0x00000000 -> 0x01440140   (A 0  B 21233984)
  +0x0380: 0x60000000 -> 0x014c0148   (A 1610612736  B 21758280)
