BOs only in B: 0x1000001c900

=== gpu_va=0x0  A=map_seq000044_conn0_type00005e15_at101408000_sz4000.hex  B=bo_sigusr1_h0_va0_cpu1048a8000_sz10000.hex ===
  [size differs: A read 0x4000  B read 0x10000]
  +0x03f0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03f4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03f8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x03fc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)

=== gpu_va=0x1000001c700  A=bo_sigusr1_h0_va1000001c700_cpu10566c700_sz20000.hex  B=bo_sigusr1_h0_va1000001c700_cpu10487c700_sz20000.hex ===
  +0x0000: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0004: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0008: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x000c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0010: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0014: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0018: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x001c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0020: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0024: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0028: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x002c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0030: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0034: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0038: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x003c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0040: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0044: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0048: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x004c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0050: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0054: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0058: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x005c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0060: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0064: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0068: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x006c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0070: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0074: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0078: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x007c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0080: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0084: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0088: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x008c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0090: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0094: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0098: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x009c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00a0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00a4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00a8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00ac: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00b0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00b4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00b8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00bc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00c0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00c4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00c8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00cc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00d0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00d4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00d8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00dc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00e0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00e4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00e8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00ec: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00f0: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00f4: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00f8: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x00fc: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0100: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0104: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0108: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x010c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0110: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0114: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0118: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x011c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0120: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0124: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0128: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x012c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0130: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0134: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0138: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x013c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0140: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0144: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0148: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x014c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0150: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0154: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0158: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x015c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0160: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0164: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0168: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x016c: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0170: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0174: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
  +0x0178: 0x00000000 -> 0x40400000   (A 0  B 1077936128)
